index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote
ae5dc294796b9540a352476593c471e4,2025-10-11T17:34:49Z,'landslide rain',www.yahoo.com,en,0.0,"Heavy rain in Mexico sets off floods and landslides, killing at least 37","The death toll from landslides and floods set off by incessant rainfall in central and southeastern Mexico rose to 37 people on Saturday, authorities said, a...",https://www.yahoo.com/news/articles/heavy-rain-mexico-sets-off-173449798.html,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,,"MEXICO CITY (AP) The death toll from landslides and floods set off by incessant rainfall in central and southeastern Mexico rose to 37 people on Saturday, authorities said, a sharp increase as thousa… [+1040 chars]",
d8d151f8e0b029d24b23ea9757533941,2025-10-11T21:15:00Z,'landslide death',www.dailysignal.com,en,0.1,Why Won’t Virginia Democrats Call for Jones to Quit AG Race?,"Virginians with even a modicum of decency were rightly repulsed by vile 2022 text messages from Jay Jones, the Democrat nominee for state attorney general,... Read More
The post Why Won’t Virginia Democrats Call for Jones to Quit AG Race? appeared first on Th…",https://www.dailysignal.com/2025/10/11/why-wont-virginia-democrats-call-jones-quit-ag-race/,https://www.dailysignal.com/wp-content/uploads/2025/10/20251010_AbbyLovesJay.jpg,http://web.archive.org/web/20251011220442/https://www.dailysignal.com/2025/10/11/why-wont-virginia-democrats-call-jones-quit-ag-race/,"Virginians with even a modicum of decency were rightly repulsed by vile 2022 text messages from Jay Jones, the Democrat nominee for state attorney general, made public last week, in which he wished f… [+5776 chars]",
8ab61a78fdfe3ea24ec64f84ccb609ec,2025-10-11T21:26:05Z,'landslide',abcnews.go.com,en,0.0,"Heavy rain in Mexico sets off floods and landslides, killing at least 37",Authorities say the death toll from landslides and floods set off by incessant rainfall in central and southeastern Mexico has increased to 37 people,https://abcnews.go.com/International/wireStory/heavy-rain-mexico-sets-off-floods-landslides-killing-126432814,https://s.abcnews.com/images/US/abc_news_default_2000x2000_update_16x9_992.jpg,http://web.archive.org/web/20251011221842/https://abcnews.go.com/International/wireStory/heavy-rain-mexico-sets-off-floods-landslides-killing-126432814,"MEXICO CITY -- MEXICO CITY (AP) The death toll from landslides and floods set off by incessant rainfall in central and southeastern Mexico rose to 37 people on Saturday, authorities said, a sharp inc… [+1057 chars]",
841dbd537db9cef81866872df355001a,2025-10-11T22:30:30Z,'landslide rain',dpa-international.com,en,0.0,Dozens dead in Mexico after severe flooding; escaped tiger caught,"Heavy rainfall in Mexico caused severe flooding and landslides across several states, leaving at least 37 people dead, authorities said on Saturday. The...",https://dpa-international.com/general-news/urn:newsml:dpa.com:20090101:251011-99-302204/,https://media.zenfs.com/en/dpa_international_526/428edb845c4fc8dfbe2a285fffa28466,http://web.archive.org/web/20251011235223/https://dpa-international.com/general-news/urn:newsml:dpa.com:20090101:251011-99-302204/,"Heavy rainfall in Mexico caused severe flooding and landslides across several states, leaving at least 37 people dead, authorities said on Saturday.
The Security Ministry said 117 cities and municip… [+2248 chars]",
d7bd2f0ddc637c63ded4ab959d7d10e8,2025-10-12T04:06:14Z,'landslide',www.abc.net.au,en,0.0,"At least 41 dead in Mexico after landslides, floods","Authorities have attributed the deadly downpours to Tropical Storm Priscilla, formerly a hurricane, and Tropical Storm Raymond, both off the western coast of Mexico.",https://www.abc.net.au/news/2025-10-12/dozens-dead-in-mexico-veracruz-after-landslides-floods/105882420,https://live-production.wcms.abc-cdn.net.au/e0e4e02e0d79db5898f062339eb6583c?impolicy=wcms_watermark_news&cropH=2813&cropW=5000&xPos=0&yPos=241&width=862&height=485&imformat=generic,,"Some Mexicans in the low-lying working class neighbourhoods of Poza Rica heard the wall of water before they saw it. 
The loudest sound was from the cars crashing together as they were swept along b… [+3161 chars]",
4d2e0c0042a8ec13a333868e1476f3b3,2025-10-12T06:14:07Z,'landslide',www.hurriyetdailynews.com,en,0.0,"Heavy rain in Mexico sets off floods and landslides, killing at least 42","The death toll from landslides and floods set off by incessant rainfall in central and southeastern Mexico rose to 42 people on Saturday, authorities said, a sharp increase as thousands of soldiers cleared blocked roads to rescue around 27 missing individuals.",https://www.hurriyetdailynews.com/heavy-rain-in-mexico-sets-off-floods-and-landslides-killing-at-least-42-214567,https://image.hurimg.com/i/hurriyet/75/200x200/68eb47271e627480a0040195.jpg,http://web.archive.org/web/20251012085422/https://www.hurriyetdailynews.com/heavy-rain-in-mexico-sets-off-floods-and-landslides-killing-at-least-42-214567,"POZA RICA
The death toll from landslides and floods set off by incessant rainfall in central and southeastern Mexico rose to 42 people on Saturday, authorities said, a sharp increase as thousands of… [+2953 chars]",
dc80a4056d9870e30acb25d90ce66bf1,2025-10-12T11:40:29Z,'landslide',www.foxnews.com,en,0.0,"Floods, landslides in Mexico leave at least 41 dead",At least 41 people died in central and southeastern Mexico after heavy rainfall caused devastating floods and landslides across multiple states.,https://www.foxnews.com/world/floods-landslides-mexico-leave-dead,https://static.foxnews.com/foxnews.com/content/uploads/2025/10/mexico-floods-landslides-2.jpg,,"At least 41 people are dead in central and southeastern Mexico after days of torrential rainfall triggered floods and landslides, authorities said Saturday.
The death toll rose as thousands of soldi… [+1809 chars]",
d41296abf41b4bafdf6ad19c47da5358,2025-10-12T21:57:50Z,'landslide rain',www.yahoo.com,en,0.0,Mexico's president convenes governors as death toll from torrential rains rises to 44,"The death toll from Mexico's torrential rains increased to 44 on Sunday as the fallout mounted from flooding and landslides across the country, prompting...",https://www.yahoo.com/news/articles/mexicos-president-convenes-governors-death-215750304.html,https://s.yimg.com/ny/api/res/1.2/_5QO2iREqmmp6asQ3ypgOA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA7Y2Y9d2VicA--/https://media.zenfs.com/en/ap.org/f9759e4bfd11ea8bce6384e404b440c0,,"MEXICO CITY (AP) The death toll from Mexico's torrential rains increased to 44 on Sunday as the fallout mounted from flooding and landslides across the country, prompting President Claudia Sheinbaum … [+1338 chars]",
f78d7e159fdc6e151e0b0c8b191daa4f,2025-10-13T00:57:21Z,'landslide',economictimes.indiatimes.com,en,0.0,Mexico's president convenes governors as death toll from torrential rains rises to 44,Torrential rains have claimed 44 lives across Mexico. Flooding and landslides have devastated several states. President Claudia Sheinbaum is coordinating an emergency response. Rescue operations are underway in affected areas. Many residents face water and el…,https://economictimes.indiatimes.com/news/international/world-news/mexicos-president-convenes-governors-as-death-toll-from-torrential-rains-rises-to-44/articleshow/124514937.cms,"https://img.etimg.com/thumb/msid-124514939,width-1200,height-630,imgsize-226986,overlay-economictimes/articleshow.jpg",,"The death toll from Mexico's torrential rains rose to 44 on Sunday as the fallout mounted from flooding and landslides across the country, prompting President Claudia Sheinbaum to convene governors f… [+1759 chars]",
4fb2dd2b33b0046a2a9dd85a5be5d602,2025-10-13T03:22:36Z,'landslide',abcnews.go.com,en,0.0,Mexico's president convenes governors as death toll from torrential rains rises to 44,"The death toll from Mexico’s torrential rains has increased to 44, as the fallout mounted from widespread flooding and landslides across the country",https://abcnews.go.com/International/wireStory/mexicos-president-convenes-governors-death-toll-torrential-rains-126459393,https://i.abcnewsfe.com/a/22ae3e87-d470-4e00-a22b-76a8331042e3/wirestory_e1cfd6acf28e38bf442d7eb14ada64ee_16x9.jpg?w=1600,,"POZA RICA, Mexico -- POZA RICA, Mexico (AP) The death toll from Mexico's torrential rains rose to 44 on Sunday as the fallout mounted from flooding and landslides across the country, prompting Presid… [+1730 chars]",
